Burger patties,5.04
Conditioner,15.26
Nectarines,1.76
Squash,10.39
Salmon,14.72
Cookies,2.74
Cream,4.74
Radishes,17.98
Salt,3.22
Yams,17.70
Ground beef,7.68
Baby food,5.82
Chicken nuggets,9.40
Salad dressing,3.52
Candles,11.87
Kumquats,6.72
Pepperoni,19.74
Avocados,9.38
Baking soda,17.97
Tomato paste,2.83
Buns,18.10
Linguini,15.21
Cheese bread,4.31
Cod,14.45
Tilapia,2.43
Egg substitute,13.79
Pasta sauce,10.35
TV dinners,3.50
Shortening,10.61
Life,6.88
Doughnuts,2.10
Kitchen cleaner,4.65
Mint,14.32
Brownies,18.76
Toilet paper,11.10
Green peppers,10.10
Onion rings,9.76
Kohlrabi,3.83
Treats,18.64
Tomato sauce,3.93
Crackers,17.89
Jell-O,20.58
Cream cheese,3.79
Chicken loaf,14.45
Bran,9.70
Icing,10.28
Crab,7.98
Broccoli soup,15.79
Lunch bags,7.43
Basil,10.95
Instant Noodles,16.15
Cranberries,15.17
Soy sauce,9.36
Wax paper,18.43
Dental/Breath bones,20.74
Vacuum bags,20.37
French fries,19.82
Bottle liners,19.44
Chicken,12.93
Bacon,1.68
Cucumbers,11.72
Graham crumbles,8.15
Broccoli,14.42
Paprika,13.82
Berries,11.89
All spice,4.14
Tomatoes,14.12
Alfredo sauce,10.71
Chard,13.79
Apple sauce,20.77
Diapers,20.37
Juice concentrate,7.49
Cream of wheat,5.80
Maple syrup,13.75
Pasta,9.20
Trail mix,12.90
Sandwich bread,17.81
Breast pads,9.24
Club soda,10.01
Molasses,15.01
Scrubbers,1.89
Cat litter,5.90
Dish soap,18.64
Pate,18.74
Pie,20.07
Pretzels,1.17
Flounder,16.03
Sandwich bags,10.46
Escargot (snails),15.12
Macaroni,18.83
Mustard,7.67
Cinnamon buns,11.27
Whole grain,19.78
Drink crystals,13.34
Mashed potatoes,13.35
Rice,4.91
Cookies,11.12
Chicken breast,8.56
Chicken noodle soup,20.77
Sealable bags,18.84
Hot dog buns,18.36
Salmon,16.39
Worcestershire sauce,15.94
Peas,5.44
Jam,13.68
Ketchup,8.58
Peaches,13.90
Pork & beans,2.34
Corn creamed,3.44
Pork rinds,5.85
Honey,5.29
Meat tenderizer,9.11
Sourdough,11.34
Nacho dip,14.54
Toilet tank fresheners,5.65
Pot scrubbers,11.09
Margarine,14.13
Turkey pot pie,5.62
Chili Sauce,13.83
Lip balm,9.70
Pineapple,15.00
Lemon juice,11.90
Peas,17.63
Flea collar,2.33
Papaya,20.29
Yellow peppers,6.73
Carpet cleaner,17.84
Honey nut ohs,11.30
Turkey breast,19.59
Lemons,4.01
Limes,5.58
Liver,18.61
Chicken flaked,9.55
Syrup,3.46
Cake,17.09
Pork chops,2.13
Corned beef,12.87
Garlic,20.72
Mixed vegetables,9.11
Tuna,13.92
Dishwasher detergent,15.18
Formula,18.52
French bread,6.27
Peanuts,8.15
Bouillon cubes,5.46
Blue berries,19.78
Cheese slices,20.78
Bar soap,12.72
Spaghetti,17.58
Grape nuts,18.84
Sausage,4.32
Pectin,1.56
Raisin bread,8.01
Oysters,15.81
Spinach,19.17
Grapes,11.35
Puffed wheat,20.32
Asparagus,20.23
Baking powder,6.45
Muslix,5.83
Grapefruit,14.50
Pizza snacks,1.11
Melon,6.21
Apricots,7.51
Protein bars,11.18
Strawberries,15.26
Onion soup,12.01
Carpet freshener,19.55
Peanuts,3.69
Milk 2%,20.49
Apple sauce,16.84
Honeydew,5.72
Veggie burgers,1.47
Hamburgers,5.28
Tomatoes,6.36
Clams,2.27
Mousse,11.02
Ravioli,1.31
Bagels,9.16
Cat food,17.31
Candy,2.35
Cold medicine,15.81
Egg plant,20.66
Cinnamon,3.28
Pie,16.13
Baby shampoo,3.25
Oysters,14.42
Carrots,8.22
Chocolate sauce,20.80
Ground pork,6.66
Paper plates,13.48
Plastic cups,18.20
Tartar Sauce,19.88
Plastic cutlery,4.29
Cloves,12.02
Pabulum,8.54
Shampoo,7.35
Roast beef,20.67
Shrimp,17.92
Egg Nog,11.82
Popsicles,3.77
Red snapper,17.83
Vanilla extract,11.05
Milk chocolate,8.58
Vector,10.12
Cilantro,5.73
Chili,3.39
Dog food,15.79
Cheese spread,12.23
Diaper rash ointment,3.40
Baby Lotion,6.74
Bread crumbs,2.82
Tuna,19.81
Hand soap,14.51
Fruit,6.24
